03:18:35 --->   row_id 19 - Actual: General Medicine | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary
03:30:24 --->   row_id 3484 - Actual: Gastroenterology | Predicted: none | 'Hematology - Oncology'

03:30:27 --->   row_id 3486 - Actual: Gastroenterology | Predicted: none | 'Hematology - Oncology'

03:30:31 --->   row_id 3489 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:31:02 --->   row_id 3512 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:31:17 --->   row_id 3513 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:31:19 --->   row_id 3514 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:31:20 --->   row_id 3515 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:31:22 --->   row_id 3516 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:31:23 --->   row_id 3517 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:31:26 --->   row_id 3519 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:32:04 --->   row_id 3545 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:32:42 --->   row_id 3569 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:32:49 --->   row_id 3574 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:33:29 --->   row_id 3598 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:33:33 --->   row_id 3601 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:33:36 --->   row_id 3603 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:33:37 --->   row_id 3604 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:33:39 --->   row_id 3605 - Actual: Gastroenterology | Predicted: Nephrology | Nephrology

03:33:43 --->   row_id 3608 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:33:50 --->   row_id 3613 - Actual: Gastroenterology | Predicted: General Medicine | 'General Medicine'

03:34:44 --->   row_id 3651 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:34:56 --->   row_id 3659 - Actual: Gastroenterology | Predicted: none | 'Hematology - Oncology'

03:34:57 --->   row_id 3660 - Actual: Gastroenterology | Predicted: none | 'Hematology - Oncology'

03:35:07 --->   row_id 3667 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:14 --->   row_id 3672 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:35:17 --->   row_id 3674 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:19 --->   row_id 3676 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:21 --->   row_id 3677 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:22 --->   row_id 3678 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:26 --->   row_id 3680 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:27 --->   row_id 3681 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

03:35:29 --->   row_id 3682 - Actual: Gastroenterology | Predicted: Endocrinology | 'Endocrinology'

03:35:32 --->   row_id 3684 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:35 --->   row_id 3686 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:36 --->   row_id 3688 - Actual: Gastroenterology | Predicted: General Medicine | General Medicine

03:35:38 --->   row_id 3689 - Actual: Gastroenterology | Predicted: Cardiovascular / Pulmonary | 'Cardiovascular / Pulmonary'

03:35:43 --->   row_id 3788 - Actual: Endocrinology | Predicted: none | none

03:35:45 --->   row_id 3789 - Actual: Endocrinology | Predicted: General Medicine | General Medicine

03:35:52 --->   row_id 3794 - Actual: Endocrinology | Predicted: General Medicine | General Medicine

03:35:59 --->   row_id 3799 - Actual: Endocrinology | Predicted: none | 'Hematology - Oncology'

03:36:03 --->   row_id 3801 - Actual: Endocrinology | Predicted: none | Hematology - Oncology

03:36:22 --->   row_id 4619 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | Gastroenterology

03:36:45 --->   row_id 4635 - Actual: Cardiovascular / Pulmonary | Predicted: Nephrology | Nephrology

03:36:54 --->   row_id 4641 - Actual: Cardiovascular / Pulmonary | Predicted: Sleep Medicine | Sleep Medicine

03:37:06 --->   row_id 4645 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:37:08 --->   row_id 4646 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:37:15 --->   row_id 4651 - Actual: Cardiovascular / Pulmonary | Predicted: Nephrology | 'Nephrology'

03:37:17 --->   row_id 4652 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:37:23 --->   row_id 4657 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:38:08 --->   row_id 4685 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:38:13 --->   row_id 4689 - Actual: Cardiovascular / Pulmonary | Predicted: Sleep Medicine | 'Sleep Medicine'

03:38:19 --->   row_id 4693 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:38:23 --->   row_id 4696 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:38:28 --->   row_id 4699 - Actual: Cardiovascular / Pulmonary | Predicted: Rheumatology | Rheumatology

03:38:37 --->   row_id 4705 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:08 --->   row_id 4727 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:17 --->   row_id 4734 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:22 --->   row_id 4737 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:31 --->   row_id 4743 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:32 --->   row_id 4744 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:34 --->   row_id 4745 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:39:36 --->   row_id 4747 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:39:38 --->   row_id 4748 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:39:46 --->   row_id 4754 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | 'Gastroenterology'

03:39:51 --->   row_id 4757 - Actual: Cardiovascular / Pulmonary | Predicted: Endocrinology | Endocrinology

03:39:53 --->   row_id 4759 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:40:08 --->   row_id 4767 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:40:40 --->   row_id 4789 - Actual: Cardiovascular / Pulmonary | Predicted: Allergy / Immunology | 'Allergy / Immunology'

03:40:43 --->   row_id 4791 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:40:54 --->   row_id 4799 - Actual: Cardiovascular / Pulmonary | Predicted: Nephrology | Nephrology

03:41:09 --->   row_id 4809 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | 'Gastroenterology'

03:41:12 --->   row_id 4811 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | 'Gastroenterology'

03:41:22 --->   row_id 4818 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:41:35 --->   row_id 4827 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:41:36 --->   row_id 4828 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:41:47 --->   row_id 4836 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:41:49 --->   row_id 4837 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:42:00 --->   row_id 4844 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:42:16 --->   row_id 4853 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:42:28 --->   row_id 4861 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:42:38 --->   row_id 4868 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:42:52 --->   row_id 4878 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | 'General Medicine'

03:43:08 --->   row_id 4889 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:43:15 --->   row_id 4893 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:43:28 --->   row_id 4902 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:43:29 --->   row_id 4903 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:43:38 --->   row_id 4909 - Actual: Cardiovascular / Pulmonary | Predicted: Gastroenterology | 'Gastroenterology'

03:44:03 --->   row_id 4922 - Actual: Cardiovascular / Pulmonary | Predicted: none | none

03:44:20 --->   row_id 4933 - Actual: Cardiovascular / Pulmonary | Predicted: General Medicine | General Medicine

03:44:36 --->   row_id 4942 - Actual: Cardiovascular / Pulmonary | Predicted: none | Hematology - Oncology

03:44:40 --->   row_id 4945 - Actual: Cardiovascular / Pulmonary | Predicted: none | 'Hematology - Oncology'

03:44:58 --->   row_id 4958 - Actual: Cardiovascular / Pulmonary | Predicted: Nephrology | 'Nephrology'

03:45:29 --->   row_id 4995 - Actual: Allergy / Immunology | Predicted: Rheumatology | 'Rheumatology'

03:45:30 --->   row_id 4996 - Actual: Allergy / Immunology | Predicted: General Medicine | General Medicine

03:45:32 --->   row_id 4997 - Actual: Allergy / Immunology | Predicted: Cardiovascular / Pulmonary | Cardiovascular / Pulmonary

